ParkName,Year,RecreationVisits,VisitorSpending,JobsSupported,LaborIncome,ValueAdded,EconomicOutput
Abraham Lincoln Birthplace NHP,2017,269580.0,15412800.0,242.0,6965100.0,11847700.0,20885000.0
Abraham Lincoln Birthplace NHP,2018,260964.0,15411000.0,229.0,6896000.0,12031000.0,20784000.0
Abraham Lincoln Birthplace NHP,2019,238225.0,14169000.0,210.0,6351000.0,11082000.0,19136000.0
Abraham Lincoln Birthplace NHP,2020,228140.0,13669000.0,202.0,6138000.0,10709000.0,18484000.0
Abraham Lincoln Birthplace NHP,2021,251188.0,16352000.0,250.0,8167000.0,12782000.0,23813000.0
Abraham Lincoln Birthplace NHP,2022,265707.0,17545000.0,266.0,8749000.0,13694000.0,25544000.0
Abraham Lincoln Birthplace NHP,2023,239950.0,16070000.0,242.0,8000000.0,12523000.0,23391000.0
Abraham Lincoln Birthplace NHP,2024,249166.0,17534000.0,195.0,7968000.0,14052000.0,24349000.0
Acadia NP,2017,3509271.0,284459800.0,4163.0,107621500.0,185248300.0,338873800.0
Acadia NP,2018,3537575.0,387654000.0,5602.0,171668000.0,304982000.0,521454000.0
Acadia NP,2019,3437286.0,379517000.0,5474.0,168284000.0,298961000.0,510962000.0
Acadia NP,2020,2669034.0,303734000.0,4368.0,134853000.0,240528000.0,411030000.0
Acadia NP,2021,4069098.0,486056000.0,6841.0,236009000.0,401158000.0,702038000.0
Acadia NP,2022,3970260.0,478821000.0,6695.0,231941000.0,394168000.0,690712000.0
Acadia NP,2023,3879890.0,475175000.0,6603.0,229830000.0,390600000.0,685376000.0
Acadia NP,2024,3961661.0,538906000.0,5304.0,243133000.0,459921000.0,744545000.0
Adams NHP,2017,255563.0,14611500.0,200.0,7971900.0,12984400.0,20679400.0
Adams NHP,2018,121007.0,7146000.0,94.0,3954000.0,6492000.0,10196000.0
Adams NHP,2019,187400.0,11146000.0,146.0,6179000.0,10145000.0,15926000.0
Adams NHP,2020,6937.0,416000.0,5.0,231000.0,379000.0,595000.0
Adams NHP,2021,20679.0,1346000.0,17.0,813000.0,1267000.0,2047000.0
Adams NHP,2022,12848.0,849000.0,11.0,512000.0,798000.0,1290000.0
Adams NHP,2023,25229.0,1691000.0,21.0,1017000.0,1586000.0,2569000.0
Adams NHP,2024,45656.0,3213000.0,31.0,1804000.0,3028000.0,4691000.0
African Burial Ground NM,2017,43183.0,2469000.0,31.0,1392300.0,2253900.0,3381600.0
African Burial Ground NM,2018,45036.0,2660000.0,31.0,1466000.0,2478000.0,3698000.0
African Burial Ground NM,2019,47428.0,2821000.0,33.0,1558000.0,2633000.0,3928000.0
African Burial Ground NM,2020,7907.0,474000.0,6.0,262000.0,443000.0,661000.0
African Burial Ground NM,2021,9167.0,597000.0,7.0,356000.0,579000.0,877000.0
African Burial Ground NM,2022,29743.0,1964000.0,21.0,1170000.0,1902000.0,2884000.0
African Burial Ground NM,2023,40817.0,2733000.0,30.0,1625000.0,2643000.0,4012000.0
African Burial Ground NM,2024,36007.0,2534000.0,21.0,1410000.0,2447000.0,3606000.0
Agate Fossil Beds NM,2017,32039.0,2299000.0,35.0,684100.0,1205500.0,2379400.0
Agate Fossil Beds NM,2018,16238.0,1206000.0,17.0,380000.0,660000.0,1263000.0
Agate Fossil Beds NM,2019,16657.0,1246000.0,17.0,393000.0,683000.0,1306000.0
