ParkName,Year,RecreationVisits,VisitorSpending,JobsSupported,LaborIncome,ValueAdded,EconomicOutput
Abraham Lincoln Birthplace NHP,2024,249166.0,17534000.0,195.0,7968000.0,14052000.0,24349000.0
Acadia NP,2024,3961661.0,538906000.0,5304.0,243133000.0,459921000.0,744545000.0
Adams NHP,2024,45656.0,3213000.0,31.0,1804000.0,3028000.0,4691000.0
African Burial Ground NM,2024,36007.0,2534000.0,21.0,1410000.0,2447000.0,3606000.0
Agate Fossil Beds NM,2024,19395.0,1694000.0,18.0,484000.0,960000.0,1813000.0
Alagnak WR,2024,278.0,14000.0,0.0,5000.0,9000.0,15000.0
Alibates Flint Quarries NM,2024,8558.0,602000.0,6.0,238000.0,428000.0,762000.0
Allegheny Portage Railroad NHS,2024,193903.0,13645000.0,148.0,6644000.0,11289000.0,18998000.0
Amache NHS,2024,4771.0,336000.0,4.0,111000.0,210000.0,379000.0
Amistad NRA,2024,832294.0,43943000.0,426.0,12793000.0,24920000.0,45868000.0
Andersonville NHS,2024,72925.0,5132000.0,61.0,1794000.0,3416000.0,6421000.0
Andrew Johnson NHS,2024,55270.0,3889000.0,39.0,1767000.0,3125000.0,5204000.0
Aniakchak NM & PRES,2024,191.0,396000.0,4.0,192000.0,351000.0,573000.0
Antietam NB,2024,197340.0,13882000.0,131.0,6909000.0,12448000.0,19362000.0
Apostle Islands NL,2024,253703.0,49321000.0,472.0,20003000.0,34556000.0,60138000.0
Appomattox Court House NHP,2024,83769.0,5895000.0,62.0,2225000.0,4170000.0,7278000.0
Arches NP,2024,1466528.0,287785000.0,2502.0,94522000.0,183289000.0,312122000.0
Arkansas Post NMEM,2024,26203.0,1844000.0,20.0,714000.0,1328000.0,2342000.0
Arlington House The R.E. Lee MEM,2024,447641.0,31499000.0,294.0,15635000.0,28326000.0,43841000.0
Assateague Island NS,2024,2282498.0,120137000.0,1075.0,44563000.0,80941000.0,134306000.0
Aztec Ruins NM,2024,40019.0,2635000.0,26.0,969000.0,1853000.0,3251000.0
Badlands NP,2024,1094245.0,143206000.0,1410.0,58901000.0,111301000.0,191413000.0
Bandelier NM,2024,213595.0,15870000.0,159.0,6454000.0,11799000.0,20181000.0
Belmont-Paul Women's Equality NM,2024,7704.0,177000.0,2.0,90000.0,165000.0,253000.0
Bent's Old Fort NHS,2024,16102.0,1133000.0,11.0,432000.0,837000.0,1418000.0
Bering Land Bridge NPRES,2024,2642.0,5145000.0,48.0,2502000.0,4521000.0,7371000.0
Big Bend NP,2024,561458.0,56817000.0,585.0,17269000.0,34443000.0,63707000.0
Big Cypress NPRES,2024,2216708.0,214069000.0,1993.0,103880000.0,190313000.0,303191000.0
Big Hole NB,2024,45211.0,3780000.0,39.0,1286000.0,2151000.0,4144000.0
Big South Fork NRRA,2024,779602.0,28466000.0,244.0,10784000.0,19343000.0,31583000.0
Big Thicket NPRES,2024,271823.0,21057000.0,206.0,9174000.0,16870000.0,27828000.0
Bighorn Canyon NRA,2024,219815.0,11557000.0,121.0,4382000.0,7609000.0,14003000.0
Biscayne NP,2024,512213.0,39679000.0,362.0,19190000.0,34520000.0,55023000.0
Black Canyon of the Gunnison NP,2024,335862.0,25238000.0,209.0,10258000.0,19050000.0,30348000.0
Blue Ridge PKWY,2024,16733639.0,1521013000.0,15679.0,581720000.0,1071669000.0,1882268000.0
Bluestone NSR,2024,7327.0,387000.0,4.0,135000.0,252000.0,439000.0
Booker T. Washington NM,2024,24209.0,1703000.0,19.0,672000.0,1241000.0,2204000.0
Boston African American NHS,2024,393386.0,27681000.0,265.0,15634000.0,26194000.0,40565000.0
Boston Harbor Islands NRA,2024,28157.0,1488000.0,13.0,770000.0,1299000.0,2007000.0
Boston NHP,2024,2744458.0,193124000.0,1848.0,109087000.0,182738000.0,282993000.0
Brown v. Board of Education NHP,2024,21919.0,1542000.0,18.0,766000.0,1349000.0,2294000.0
Bryce Canyon NP,2024,2498075.0,244884000.0,2334.0,69263000.0,139948000.0,270134000.0
Buck Island Reef NM,2024,42289.0,3179000.0,25.0,1342000.0,2652000.0,3969000.0
