"park_name","park_type","state","region","unit_code","entrance_fee","fee_type","per_person_fee","fee_tier","total_visits_8yr","avg_annual_visits","visits_2024","traffic_tier","total_visitor_spending_8yr","avg_visitor_spending_8yr","total_economic_output_8yr","avg_economic_output_8yr","avg_jobs_supported_8yr","avg_labor_income_8yr","spending_per_visit","pricing_diagnosis","is_2026_surcharge_park","is_fee_eligible","exclusion_reason","cluster_tier","projected_fee_revenue_5_usd"
"Blue Ridge PKWY","National Parkway","NC","Southeast","BLRI",NULL,NULL,NULL,"Free","125010179","15626272","16733639","Major (>3M/yr)","9789467800","1223683475","12432070700","1554008838","16718","495638775","78.13","Untapped: Free + High Traffic",0,0,"Parkway: deed restrictions and diffuse multi-jurisdiction access",NULL,"0"
"Golden Gate NRA","National Recreation Area","CA","Pacific West","GOGA",NULL,NULL,NULL,"Free","119100781","14887598","17187508","Major (>3M/yr)","8358975100","1044871888","11085701200","1385712650","9467","617904100","69.19","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"Great Smoky Mountains NP","National Park","TN","Southeast","GRSM",NULL,NULL,NULL,"Free","99992218","12499027","12191834","Major (>3M/yr)","11597948100","1449743513","16705917000","2088239625","20382","738898563","115.09","Untapped: Free + High Traffic",0,1,NULL,"Case Study (GRSM)","0"
"Gateway NRA","National Recreation Area","NY","Northeast","GATE",NULL,NULL,NULL,"Free","71667727","8958466","8929035","Major (>3M/yr)","2036772800","254596600","2365173400","295646675","2755","106764925","28.45","Untapped: Free + High Traffic",0,0,"Urban NRA/NHP: uncontrolled multi-point access",NULL,"0"
"George Washington MEM PKWY","National Parkway","VA","National Capital","GWMP",NULL,NULL,NULL,"Free","56968318","7121040","6782717","Major (>3M/yr)","759752600","94969075","1134986900","141873363","1220","53725763","13.37","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Lincoln MEM","National Memorial","DC","National Capital","LINC",NULL,NULL,NULL,"Free","56745282","7093160","8479349","Major (>3M/yr)","1162470800","145308850","1712743100","214092888","1778","79922675","20.39","Untapped: Free + High Traffic",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Lake Mead NRA","National Recreation Area","NV","Pacific West","LAKE","15","per-person","15","Mid ($10-19)","56369951","7046244","6412854","Major (>3M/yr)","2723361300","340420163","3324022900","415502863","3786","152785300","48.78","Aligned",0,1,NULL,NULL,"0"
"Natchez Trace PKWY","National Parkway","MS","Southeast","NATR",NULL,NULL,NULL,"Free","52203915","6525489","7364833","Major (>3M/yr)","2321500100","290187513","2844767200","355595900","3225","129517025","43.41","Untapped: Free + High Traffic",0,0,"Parkway: deed restrictions and diffuse multi-jurisdiction access",NULL,"0"
"Gulf Islands NS","National Seashore","FL","Southeast","GUIS","15","per-person","15","Mid ($10-19)","45018282","5627285","7801176","Major (>3M/yr)","2163970900","270496363","2743400300","342925038","3381","114058900","47.26","Aligned",0,1,NULL,NULL,"0"
"Grand Canyon NP","National Park","AZ","Intermountain","GRCA","20","per-person","20","High ($20+)","40423888","5052986","4919163","Major (>3M/yr)","6081612800","760201600","7834904800","979363100","9717","331007538","152.16","Aligned",1,1,NULL,NULL,"0"
