"park_name","park_type","state","region","year","annual_visits","yoy_visit_change_pct","visitor_spending","economic_output","jobs_supported","labor_income","spending_per_visit","per_person_fee","cluster_tier"
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1979,"271231",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1980,"239074","-11.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1981,"252245","5.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1982,"318707","26.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1983,"256126","-19.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1984,"258023","0.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1985,"264905","2.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1986,"280620","5.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1987,"292825","4.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1988,"288324","-1.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1989,"309823","7.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1990,"307669","-0.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1991,"316945","3.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1992,"302739","-4.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1993,"293710","-3.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1994,"279542","-4.8",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1995,"268509","-3.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1996,"249344","-7.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1997,"262889","5.4",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1998,"250842","-4.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",1999,"251204","0.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2000,"236180","-6.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2001,"229675","-2.8",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2002,"250772","9.2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2003,"211650","-15.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2004,"201828","-4.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast",2005,"190809","-5.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL
