Name,Location,Typical fee,Fee type
Acadia National Park,Maine,$20 ,per-person
Adams National Historical Park,Massachusetts,$15 ,per-person
Antietam National Battlefield,Maryland,$10 ,per-person
Arches National Park,Utah,$15 ,per-person
Assateague Island National Seashore,Maryland,$25 ,per-vehicle
Assateague Island National Seashore,Virginia,$25 ,per-vehicle
Badlands National Park,South Dakota,$15 ,per-person
Bandelier National Monument,New Mexico,$15 ,per-person
Big Bend National Park,Texas,$15 ,per-person
Black Canyon of the Gunnison National Park,Colorado,$15 ,per-person
Bryce Canyon National Park,Utah,$20 ,per-person
C & O Canal National Historical Park,Maryland,$10 ,per-person
C & O Canal National Historical Park,Washington D.C.,$10 ,per-person
Cabrillo National Monument,California,$10 ,per-person
Canaveral National Seashore,Florida,$15 ,per-person
Canyonlands National Park,Utah,$15 ,per-person
Cape Cod National Seashore,Massachusetts,$15 ,per-person
Capitol Reef National Park,Utah,$10 ,per-person
Capulin Volcano National Monument,New Mexico,$10 ,per-person
Carlsbad Caverns National Park,New Mexico,$15 ,per-person
Castillo de San Marcos National Monument,Florida,$15 ,per-person
Cedar Breaks National Monument,Utah,$15 ,per-person
Chaco Culture National Historical Park,New Mexico,$15 ,per-person
Chattahoochee River National Recreation Area,Georgia,$5 ,per-person
Chickamauga and Chattanooga National Military Park,Georgia,$10 ,per-person
Chickamauga and Chattanooga National Military Park,Tennessee,$10 ,per-person
Christiansted National Historic Site,Virgin Islands,$10 ,per-person
Colonial National Historical Park,Virginia,$15 ,per-person
Colorado National Monument,Colorado,$15 ,per-person
Crater Lake National Park,Oregon,$15 ,per-person
Craters of the Moon National Monument,Idaho,$10 ,per-person
Cumberland Island National Seashore,Georgia,$15 ,per-person
Death Valley National Park,California,$15 ,per-person
Death Valley National Park,Nevada,$15 ,per-person
Denali National Park and Preserve,Alaska,$15 ,per-person
Devils Postpile National Monument,California,$15 ,per-person
Devils Tower National Monument,Wyoming,$15 ,per-person
Dinosaur National Monument,Colorado,$15 ,per-person
Dinosaur National Monument,Utah,$15 ,per-person
Dry Tortugas National Park,Florida,$15 ,per-person
Everglades National Park,Florida,$20 ,per-person
Florissant Fossil Beds National Monument,Colorado,$10 ,per-person
Fort Davis National Historic Site,Texas,$10 ,per-person
Fort McHenry National Monument and Historic Shrine,Maryland,$15 ,per-person
Fort Pulaski National Monument,Georgia,$10 ,per-person
Fort Sumter and Fort Moultrie National Historical Park,South Carolina,$10 ,per-person
Fort Vancouver National Historic Site,Washington,$10 ,per-person
Fort Vancouver National Historic Site,Oregon,$10 ,per-person
Glacier National Park,Montana,$20 ,per-person
Glen Canyon National Recreation Area,Arizona,$15 ,per-person
Glen Canyon National Recreation Area,Utah,$15 ,per-person
Golden Spike National Historical Park,Utah,$10 ,per-person
Grand Canyon National Park,Arizona,$20 ,per-person
Grand Teton National Park,Wyoming,$20 ,per-person
Great Falls Park,Virginia,$10 ,per-person
Great Sand Dunes National Park and Preserve,Colorado,$15 ,per-person
Guadalupe Mountains National Park,Texas,$10 ,per-person
Gulf Islands National Seashore,Florida,$15 ,per-person
Gulf Islands National Seashore,Mississippi,$15 ,per-person
Haleakala National Park,Hawaii,$15 ,per-person
Harpers Ferry National Historical Park,West Virginia,$10 ,per-person
Hawaii Volcanoes National Park,Hawaii,$15 ,per-person
Home of Franklin D. Roosevelt National Historic Site,New York,$15 ,per-person
Indiana Dunes National Park,Indiana,$15 ,per-person
Isle Royale National Park,Michigan,$7 ,per-person
Joshua Tree National Park,California,$15 ,per-person
Kennesaw Mountain National Battlefield Park,Georgia,$5 ,per-person
Lake Mead National Recreation Area,Nevada,$15 ,per-person
Lake Mead National Recreation Area,Arizona,$15 ,per-person
Lassen Volcanic National Park,California,$15 ,per-person
Lava Beds National Monument,California,$15 ,per-person
Lewis and Clark National Historical Park,Oregon,$10 ,per-person
Lewis and Clark National Historical Park,Washington,$10 ,per-person
Little Bighorn Battlefield National Monument,Montana,$15 ,per-person
Little River Canyon National Preserve,Alabama,$15 ,per-vehicle
Mesa Verde National Park,Colorado,$15 ,per-person
Montezuma Castle National Monument,Arizona,$10 ,per-person
Mount Rainier National Park,Washington,$15 ,per-person
Muir Woods National Monument,California,$15 ,per-person
